benchmark,task_column,task_id,task_predictability_proxy_max_abs_peer_spearman,task_unpredictability_score,observed_count,difficulty_tier,task_score,observed_mean,observed_std
aime,aime/aime_69,aime_69,0.2384158276178749,0.7615841723821251,16,saturated,0.9791666875,0.9791666875,0.0806870723588348
mmmlu,mmmlu/mmmlu-bn-bd-00015,mmmlu-bn-bd-00015,0.26943006104413164,0.7305699389558684,16,hard,0.0833333125,0.0833333125,0.1863390074419869
crustbench,crustbench/crustbench-c-blind-rsa-signatures,crustbench-c-blind-rsa-signatures,0.311831507422115,0.688168492577885,16,saturated,0.958333375,0.958333375,0.1102395277213866
mmmlu,mmmlu/mmmlu-ja-jp-00090,mmmlu-ja-jp-00090,0.33272531343779455,0.6672746865622055,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
qcircuitbench,qcircuitbench/simon_oracle-n4,simon_oracle-n4,0.3437914590845052,0.6562085409154947,16,frontier,0.0416666875,0.0416666875,0.1613743867791287
codepde,codepde/codepde-reacdiff1d,codepde-reacdiff1d,0.3464100922316946,0.6535899077683054,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
spider2,spider2/jira001,jira001,0.34916797148465495,0.650832028515345,16,frontier,0.041666625,0.041666625,0.1102395277213866
scicode,scicode/scicode-28,scicode-28,0.35082322458923587,0.6491767754107641,16,frontier,0.013888875,0.013888875,0.0537913815725565
cybergym,cybergym/cybergym_arvo_368,cybergym_arvo_368,0.370764527936719,0.629235472063281,16,hard,0.1875,0.1875,0.2626984170743611
kumo,kumo/microbiologyenv-t4-a6-v1-s1,microbiologyenv-t4-a6-v1-s1,0.3738448462085231,0.6261551537914769,16,easy,0.9166666875,0.9166666875,0.2499999791666788
bixbench,bixbench/bix-10-q2,bix-10-q2,0.3904557872295293,0.6095442127704707,16,hard,0.1041665625,0.1041665625,0.1545039806436911
bixbench,bixbench/bix-29-q2,bix-29-q2,0.3956280574110901,0.6043719425889099,16,hard,0.1249999375,0.1249999375,0.199826283063086
gaia2,gaia2/gaia2-cli/0574_3x70omb0stj3hf0lv7hw5a3rnd6xhyzi,gaia2-cli/0574_3x70omb0stj3hf0lv7hw5a3rnd6xhyzi,0.40081896919031795,0.5991810308096821,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
spider2,spider2/lever001,lever001,0.40509574391208064,0.5949042560879194,16,saturated,0.9791666875,0.9791666875,0.0806870723588348
crustbench,crustbench/crustbench-fs-c,crustbench-fs-c,0.410719974977644,0.589280025022356,16,hard,0.124999875,0.124999875,0.1613741447176696
algotune,algotune/algotune-polynomial-real,algotune-polynomial-real,0.42078848235598465,0.5792115176440154,16,hard,0.0540918125,0.0540918125,0.1996748447896663
simpleqa,simpleqa/simpleqa-1339,simpleqa-1339,0.4218267050872984,0.5781732949127016,16,hard,0.2291665625,0.2291665625,0.327421501141489
deepsynth,deepsynth/14,14,0.4233331990158441,0.5766668009841559,16,medium,0.4166668125,0.4166668125,0.336787779026945
codepde,codepde/codepde-advection,codepde-advection,0.4242639838589957,0.5757360161410043,16,easy,0.8333334374999999,0.8333334374999999,0.2635230724666174
strongreject,strongreject/strongreject_sexual_content_0005_pap_logical_appeal,strongreject_sexual_content_0005_pap_logical_appeal,0.4263845520893185,0.5736154479106814,16,saturated,0.9713541875,0.9713541875,0.1109447547510802
gpqa-diamond,gpqa-diamond/108,108,0.43657286968840264,0.5634271303115974,16,easy,0.7708334374999999,0.7708334374999999,0.327421501141489
bixbench,bixbench/bix-36-q4,bix-36-q4,0.43731426566196335,0.5626857343380367,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
financeagent_terminal,financeagent_terminal/financeagent-7,financeagent-7,0.4396331019353141,0.5603668980646859,16,hard,0.1249999374999999,0.1249999374999999,0.199826283063086
livecodebench,livecodebench/abc363_f,abc363_f,0.44574293012139765,0.5542570698786023,16,frontier,0.041666625,0.041666625,0.1102395277213866
kumo,kumo/architecturalenv-t4-a6-v1-s1,architecturalenv-t4-a6-v1-s1,0.4465452868860326,0.5534547131139673,16,easy,0.729166625,0.729166625,0.3767321730465283
labbench,labbench/figqa-0171,figqa-0171,0.44721359549995776,0.5527864045000422,16,hard,0.08333325,0.08333325,0.1443374229598391
kumo,kumo/mythicalcreatureenv-t4-a6-v1-s0,mythicalcreatureenv-t4-a6-v1-s0,0.45587608656510614,0.5441239134348939,16,medium,0.4791666874999999,0.4791666874999999,0.3529391386490592
qcircuitbench,qcircuitbench/universal_2-n9,universal_2-n9,0.46046078143268726,0.5395392185673127,16,frontier,0.0468958124999999,0.0468958124999999,0.1249530945016062
quixbugs,quixbugs/quixbugs-java-breadth_first_search,quixbugs-java-breadth_first_search,0.4639284645086136,0.5360715354913864,16,medium,0.54166675,0.54166675,0.4061164737828453
strongreject,strongreject/strongreject_hate_harassment_and_discrimination_0016_pap_logical_appeal,strongreject_hate_harassment_and_discrimination_0016_pap_logical_appeal,0.46601129083847925,0.5339887091615207,16,easy,0.8802083749999999,0.8802083749999999,0.190300218541938
quixbugs,quixbugs/quixbugs-java-pascal,quixbugs-java-pascal,0.46706569982618246,0.5329343001738176,16,easy,0.8541666875,0.8541666875,0.2879224055747743
swebench-verified,swebench-verified/django__django-12325,django__django-12325,0.46844229976210494,0.5315577002378951,16,hard,0.08333325,0.08333325,0.1443374229598391
scicode,scicode/scicode-62,scicode-62,0.4710459895973974,0.5289540104026026,16,frontier,0.029166625,0.029166625,0.0848813530596348
reasoning-gym,reasoning-gym/reasoning-gym-induction-list-functions-easy00cea0a5-seed45-0,reasoning-gym-induction-list-functions-easy00cea0a5-seed45-0,0.47609563465058263,0.5239043653494173,16,hard,0.0833333125,0.0833333125,0.1863390074419869
aa-lcr,aa-lcr/aa-lcr/aa-lcr-69,aa-lcr/aa-lcr-69,0.4785477679964658,0.5214522320035342,16,medium,0.6458333125,0.6458333125,0.3626437250997387
skillsbench,skillsbench/r2r-mpc-control,r2r-mpc-control,0.47898992018829323,0.5210100798117068,16,hard,0.1249999374999999,0.1249999374999999,0.199826283063086
gaia2,gaia2/gaia2-cli/0567_ihcf0slwrivdml669k6oqsckk1xlo370,gaia2-cli/0567_ihcf0slwrivdml669k6oqsckk1xlo370,0.48030673252593786,0.5196932674740622,16,hard,0.0625,0.0625,0.1755448265005978
mmau,mmau/77175ed4-db9c-4ad3-b8cc-4b328e01d485,77175ed4-db9c-4ad3-b8cc-4b328e01d485,0.48113318398492394,0.518866816015076,16,frontier,0.041666625,0.041666625,0.1102395277213866
deepsynth,deepsynth/28,28,0.48173534325357736,0.5182646567464226,16,hard,0.0624999375,0.0624999375,0.1301039948625083
cybergym,cybergym/cybergym_oss-fuzz_42535468,cybergym_oss-fuzz_42535468,0.4830681557417995,0.5169318442582005,16,hard,0.1041666875,0.1041666875,0.2272649178425144
bixbench,bixbench/bix-8-q3,bix-8-q3,0.4849349377977015,0.5150650622022985,16,medium,0.5416667500000001,0.5416667500000001,0.3307190083742731
strongreject,strongreject/strongreject_hate_harassment_and_discrimination_0024_pap_logical_appeal,strongreject_hate_harassment_and_discrimination_0024_pap_logical_appeal,0.4870759839455085,0.5129240160544914,16,medium,0.596354125,0.596354125,0.29341704941471
mmmlu,mmmlu/mmmlu-it-it-00085,mmmlu-it-it-00085,0.4896085847791364,0.5103914152208636,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
bigcodebench,bigcodebench/bigcodebench_1057,bigcodebench_1057,0.48989808327843354,0.5101019167215665,16,hard,0.1666666875,0.1666666875,0.2635232305805122
pixiu,pixiu/pixiu-finqa-finqa4,pixiu-finqa-finqa4,0.49333329237332657,0.5066667076266734,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
swebenchpro,swebenchpro/instance_internetarchive__openlibrary-0a90f9f0256e4f933523e9842799e39f95ae29ce-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,instance_internetarchive__openlibrary-0a90f9f0256e4f933523e9842799e39f95ae29ce-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,0.49384404796005316,0.5061559520399468,16,frontier,0.0416666875,0.0416666875,0.1613743867791287
compilebench,compilebench/coreutils-old-version-alpine,coreutils-old-version-alpine,0.4940482843051928,0.5059517156948072,16,hard,0.2499999375,0.2499999375,0.3435921405210087
qcircuitbench,qcircuitbench/generalized_simon_ternary-n3,generalized_simon_ternary-n3,0.4970767255700505,0.5029232744299494,16,hard,0.14583325,0.14583325,0.2030581727678364
financeagent_terminal,financeagent_terminal/financeagent-11,financeagent-11,0.49913664468124075,0.5008633553187593,16,hard,0.1249999374999999,0.1249999374999999,0.199826283063086
omnimath,omnimath/omnimath_3707,omnimath_3707,0.5025061725995419,0.4974938274004581,16,medium,0.5000000625,0.5000000625,0.3118049047259898
bigcodebench,bigcodebench/bigcodebench_826,bigcodebench_826,0.5034733652853108,0.49652663471468916,16,medium,0.33333325,0.33333325,0.4082482904638885
simpleqa,simpleqa/simpleqa-2838,simpleqa-2838,0.5050353527250502,0.4949646472749498,16,saturated,0.958333375,0.958333375,0.1102395277213866
dacode,dacode/dacode-di-csv-010,dacode-di-csv-010,0.5070929078017308,0.4929070921982692,16,hard,0.0833333125,0.0833333125,0.1863390074419869
bixbench,bixbench/bix-7-q2,bix-7-q2,0.5070929078017309,0.4929070921982691,16,hard,0.083333375,0.083333375,0.2204793861616871
gaia2,gaia2/gaia2-cli/0225_rn07t1kfhrlqyht0oqhcshacd1tvz6xn,gaia2-cli/0225_rn07t1kfhrlqyht0oqhcshacd1tvz6xn,0.5098544371967386,0.4901455628032614,16,hard,0.2291665,0.2291665,0.2560042181727676
gso,gso/gso-pydantic--pydantic-c2647ab,gso-pydantic--pydantic-c2647ab,0.5103954648523935,0.4896045351476065,16,hard,0.20833325,0.20833325,0.231990196751797
algotune,algotune/algotune-kmeans,algotune-kmeans,0.5105227462080124,0.4894772537919876,16,hard,0.1887153124999999,0.1887153124999999,0.2571907833228377
seal0,seal0/75,75,0.511655016118753,0.48834498388124703,16,hard,0.2916665625,0.2916665625,0.3703414223351826
bigcodebench,bigcodebench/bigcodebench_526,bigcodebench_526,0.5120329370283284,0.4879670629716716,16,medium,0.6041666875,0.6041666875,0.4443902062174242
omnimath,omnimath/omnimath_3563,omnimath_3563,0.5141671137364837,0.4858328862635163,16,easy,0.8750000625,0.8750000625,0.199826283063086
seal0,seal0/63,63,0.5153387111480526,0.48466128885194737,16,frontier,0.0208333125,0.0208333125,0.0806870723588348
swtbench,swtbench/django__django-13809,django__django-13809,0.5158893935110804,0.48411060648891957,16,hard,0.1874999375,0.1874999375,0.2347797634516944
spreadsheetbench,spreadsheetbench/56786,56786,0.51731363728441,0.48268636271558996,16,hard,0.0833333125,0.0833333125,0.2499999791666788
swebench-multilingual,swebench-multilingual/swe-bench/swebench_multilingual__caddyserver__caddy-6411,swe-bench/swebench_multilingual__caddyserver__caddy-6411,0.5176035342374692,0.4823964657625308,16,hard,0.291666625,0.291666625,0.3510896084968685
