benchmark,model,harbor_agent,score_harbor,score_doc,delta,abs_delta,doc_model_matched,doc_agent_matched,match_status,doc_metric,doc_slice_date,alignment_status,alignment_transform,alignment_notes
sldbench,gemini-3-flash-preview,terminus-2,0.788867,0.14535045855,0.6435165414499999,0.6435165414499999,gemini-3-flash-preview,openhands,matched_model_agent_mismatch,Mean R^2 (all_tasks),2025-07-28,transformed,lambda x: (x + 1.0) / 2.0,"Harbor scoring notes map raw R^2-style rewards from [-1, 1] to [0, 1]."
simpleqa,gpt-5.4,codex,0.945,0.327,0.6179999999999999,0.6179999999999999,GPT-5.4,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
sldbench,gemini-3-flash-preview,gemini-cli,0.746677,0.14535045855,0.60132654145,0.60132654145,gemini-3-flash-preview,openhands,matched_model_agent_mismatch,Mean R^2 (all_tasks),2025-07-28,transformed,lambda x: (x + 1.0) / 2.0,"Harbor scoring notes map raw R^2-style rewards from [-1, 1] to [0, 1]."
simpleqa,claude-sonnet-4-6,terminus-2,0.806667,0.321,0.485667,0.485667,Claude Sonnet 4.6,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
simpleqa,claude-sonnet-4-6,claude-code,0.803333,0.321,0.48233299999999996,0.48233299999999996,Claude Sonnet 4.6,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
simpleqa,claude-opus-4-6,terminus-2,0.906667,0.483,0.423667,0.423667,Claude Opus 4.6,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
simpleqa,gpt-5.4,terminus-2,0.748333,0.327,0.421333,0.421333,GPT-5.4,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
simpleqa,claude-opus-4-6,claude-code,0.866667,0.483,0.383667,0.383667,Claude Opus 4.6,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
simpleqa,gemini-3.1-pro-preview,gemini-cli,0.96,0.748,0.21199999999999997,0.21199999999999997,Gemini 3.1 Pro Preview,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
simpleqa,gemini-3.1-pro-preview,terminus-2,0.95,0.748,0.20199999999999996,0.20199999999999996,Gemini 3.1 Pro Preview,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
hle,claude-opus-4-6,claude-code,0.389558,0.19,0.199558,0.199558,claude-opus-4-6 (Non-Thinking),,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
algotune,gemini-3.1-pro-preview,terminus-2,0.223543,0.4128345597955406,-0.18929155979554063,0.18929155979554063,Gemini 3.1 Pro Preview,AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",Harbor applies the documented log-speedup compression to raw speedup factors.
hle,gpt-5.4,terminus-2,0.203481,0.3624,-0.158919,0.158919,gpt-5.4-2026-03-05 (xhigh thinking),,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
hle,gpt-5.4,codex,0.519411,0.3624,0.15701099999999996,0.15701099999999996,gpt-5.4-2026-03-05 (xhigh thinking),,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
algotune,gpt-5.4,terminus-2,0.224553,0.38087611987235215,-0.15632311987235215,0.15632311987235215,GPT-5.4,AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",Harbor applies the documented log-speedup compression to raw speedup factors.
hle,claude-opus-4-6,terminus-2,0.342704,0.19,0.152704,0.152704,claude-opus-4-6 (Non-Thinking),,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
